TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1590105766928	-8.391797	-0.671270	-3.148350	0.953071	-0.005275	-0.016634	-0.302245	img__0_1590105766917546700.png
1590105767197	-8.391797	-0.671270	-3.148350	0.953071	-0.005275	-0.016634	-0.302245	img__0_1590105767193712800.png
1590105767468	-8.391797	-0.671270	-3.148350	0.953071	-0.005275	-0.016634	-0.302245	img__0_1590105767465083600.png
1590105767762	-8.391797	-0.671270	-3.148350	0.953071	-0.005275	-0.016634	-0.302245	img__0_1590105767758707200.png
1590105768031	-7.120576	1.031162	-3.148350	0.929666	-0.006422	-0.016226	-0.367991	img__0_1590105768025988700.png
1590105768330	-4.747427	2.725659	-3.148350	0.832841	-0.009656	-0.014536	-0.553238	img__0_1590105768326493100.png
1590105768592	-2.225933	3.314468	-3.148350	0.718078	-0.012143	-0.012533	-0.695744	img__0_1590105768590177800.png
1590105768823	0.096333	3.012114	-3.148350	0.586352	-0.014135	-0.010234	-0.809869	img__0_1590105768819329400.png
1590105769053	2.115185	1.957393	-3.148350	0.436815	-0.015697	-0.007624	-0.899382	img__0_1590105769050828400.png
1590105769270	3.576372	0.371284	-3.148350	0.274007	-0.016783	-0.004783	-0.961569	img__0_1590105769268751700.png
1590105769487	4.384058	-1.619717	-3.148350	0.094190	-0.017373	-0.001644	-0.995401	img__0_1590105769485745700.png
1590105769695	4.433218	-3.720615	-3.148350	0.080090	0.017395	-0.001397	0.996635	img__0_1590105769691843400.png
1590105769892	3.802246	-5.622437	-3.148350	0.251939	0.016888	-0.004397	0.967586	img__0_1590105769888339900.png
1590105770094	2.576196	-7.213935	-3.148350	0.408184	0.015930	-0.007124	0.912733	img__0_1590105770092172300.png
1590105770297	0.911650	-8.274976	-3.148350	0.560482	0.014451	-0.009782	0.827983	img__0_1590105770296011700.png
1590105770486	-0.893442	-8.692851	-3.148350	0.689451	0.012639	-0.012033	0.724122	img__0_1590105770483960200.png
1590105770686	-2.921391	-8.464213	-3.148350	0.804722	0.010357	-0.014045	0.593395	img__0_1590105770684098900.png
1590105770898	-4.822837	-7.492788	-3.148350	0.899385	0.007624	-0.015697	0.436809	img__0_1590105770895911500.png
1590105771138	-6.362021	-5.698164	-3.148350	0.970549	0.004194	-0.016939	0.240270	img__0_1590105771132717200.png
1590105771370	-7.035000	-3.481191	-3.148350	0.998967	0.000733	-0.017435	0.041952	img__0_1590105771365718600.png
1590105771609	-6.804638	-1.115073	-3.148350	0.988618	-0.002608	-0.017255	-0.149434	img__0_1590105771606548100.png
1590105771867	-5.667270	1.114609	-3.148350	0.944832	-0.005708	-0.016491	-0.327091	img__0_1590105771861108500.png
1590105772110	-3.935503	2.734204	-3.148350	0.877889	-0.008352	-0.015322	-0.478546	img__0_1590105772108601800.png
1590105772372	-1.519668	3.763608	-3.148350	0.775982	-0.011004	-0.013544	-0.630514	img__0_1590105772367270300.png
1590105772624	0.993564	3.859663	-3.148350	0.648087	-0.013288	-0.011312	-0.761367	img__0_1590105772622364600.png
1590105772852	3.144809	3.143057	-3.148350	0.506032	-0.015050	-0.008832	-0.862338	img__0_1590105772849539800.png
1590105773072	4.888188	1.763833	-3.148350	0.348602	-0.016356	-0.006085	-0.937108	img__0_1590105773067738300.png
1590105773283	6.007554	-0.051367	-3.148350	0.180580	-0.017164	-0.003152	-0.983405	img__0_1590105773278804300.png
1590105773493	6.416401	-2.059023	-3.148350	0.007077	-0.017450	-0.000124	-0.999823	img__0_1590105773491632600.png
1590105773683	6.152739	-3.969634	-3.148350	0.158043	0.017231	-0.002758	0.987278	img__0_1590105773680369700.png
1590105773876	5.298569	-5.649902	-3.148350	0.318825	0.016540	-0.005564	0.947653	img__0_1590105773873729200.png
1590105774072	4.010078	-7.150884	-3.148350	0.351704	0.016336	-0.006138	0.935949	img__0_1590105774069213300.png
1590105774268	2.672935	-8.604150	-3.148350	0.416136	0.015868	-0.007263	0.909135	img__0_1590105774266488200.png
1590105774463	1.013687	-9.623305	-3.148350	0.567688	0.014365	-0.009908	0.823059	img__0_1590105774461308700.png
1590105774672	-1.004424	-10.010733	-3.148350	0.708172	0.012319	-0.012360	0.705824	img__0_1590105774670427800.png
1590105774888	-3.158306	-9.610332	-3.148350	0.829841	0.009735	-0.014483	0.557727	img__0_1590105774886077300.png
1590105775102	-4.897886	-8.527602	-3.148350	0.917583	0.006932	-0.016015	0.397160	img__0_1590105775099367800.png
1590105775307	-6.152431	-6.865396	-3.148350	0.974595	0.003898	-0.017010	0.223292	img__0_1590105775304269800.png
1590105775530	-6.751987	-4.754643	-3.148350	0.998967	0.000733	-0.017435	0.041949	img__0_1590105775526818500.png
1590105775759	-6.610049	-2.708560	-3.148350	0.989884	-0.002457	-0.017277	-0.140803	img__0_1590105775756020000.png
1590105776003	-6.610049	-2.708560	-3.148350	0.985859	-0.002908	-0.017207	-0.166667	img__0_1590105775999544600.png
1590105776248	-6.996685	-5.108428	-3.148350	0.999547	0.000428	-0.017446	0.024503	img__0_1590105776246088500.png
1590105776478	-6.485649	-7.317808	-3.148350	0.976507	0.003749	-0.017043	0.214777	img__0_1590105776476217200.png
1590105776696	-5.247212	-9.085093	-3.148350	0.917585	0.006932	-0.016015	0.397156	img__0_1590105776694057800.png
1590105776905	-3.449277	-10.247831	-3.148350	0.824945	0.009861	-0.014398	0.564943	img__0_1590105776901822200.png
1590105777117	-1.448228	-10.652925	-3.148350	0.708182	0.012319	-0.012360	0.705814	img__0_1590105777115672400.png
1590105777315	0.491118	-10.342578	-3.148350	0.574859	0.014278	-0.010033	0.818066	img__0_1590105777313105900.png
1590105777512	2.243477	-9.346655	-3.148350	0.416158	0.015868	-0.007263	0.909125	img__0_1590105777509585700.png
1590105777710	3.505469	-7.835034	-3.148350	0.251970	0.016888	-0.004397	0.967578	img__0_1590105777707612500.png
1590105777911	4.173560	-5.984995	-3.148350	0.080127	0.017395	-0.001398	0.996632	img__0_1590105777909007400.png
1590105778103	4.186621	-4.036572	-3.148350	0.085463	-0.017387	-0.001492	-0.996188	img__0_1590105778101478200.png
1590105778307	3.557217	-2.168110	-3.148350	0.248712	-0.016902	-0.004341	-0.968420	img__0_1590105778305175500.png
1590105778509	2.328193	-0.572480	-3.148350	0.405138	-0.015954	-0.007072	-0.914089	img__0_1590105778507105700.png
1590105778728	0.481260	0.617407	-3.148350	0.557717	-0.014483	-0.009735	-0.829848	img__0_1590105778725532000.png
1590105778948	-1.632388	1.117568	-3.148350	0.687032	-0.012678	-0.011991	-0.726418	img__0_1590105778945814700.png
1590105779172	-3.864277	0.897764	-3.148350	0.797504	-0.010525	-0.013920	-0.603061	img__0_1590105779167707600.png
1590105779416	-6.082690	-0.118115	-3.148350	0.886101	-0.008083	-0.015466	-0.463163	img__0_1590105779414342200.png
1590105779663	-7.851426	-1.832236	-3.148350	0.953067	-0.005275	-0.016634	-0.302256	img__0_1590105779659786600.png
1590105779913	-8.645190	-3.246191	-3.148350	0.982799	-0.003208	-0.017153	-0.183853	img__0_1590105779911473500.png
1590105780148	-8.645190	-3.246191	-3.148350	0.982799	-0.003208	-0.017153	-0.183853	img__0_1590105780146685000.png
1590105780381	-9.671083	-2.848447	-3.186772	0.982799	-0.003208	-0.017153	-0.183853	img__0_1590105780378962800.png
1590105780616	-9.778418	-2.806831	-3.190791	0.982799	-0.003208	-0.017153	-0.183853	img__0_1590105780614393000.png
1590105780853	-9.778418	-2.806831	-3.190791	0.982799	-0.003208	-0.017153	-0.183853	img__0_1590105780851870400.png
1590105781090	-9.778418	-2.806831	-3.190791	0.982799	-0.003208	-0.017153	-0.183853	img__0_1590105781088072000.png
1590105781323	-9.766924	-2.811289	-3.543838	0.982799	-0.003208	-0.017153	-0.183853	img__0_1590105781321169600.png
1590105781550	-9.733647	-2.824194	-4.566089	0.982799	-0.003208	-0.017153	-0.183853	img__0_1590105781548117000.png
1590105781783	-9.722124	-2.828662	-4.920112	0.980555	-0.012826	-0.068566	-0.183431	img__0_1590105781781052800.png
