TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
0	33.93299999999999	47.67698	-35.7732	-0.3145137591318895	0.3374191813317521	0.12073043263209177	0.8790071701749343	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_00.png
1	40.48599999999999	22.648999999999997	-20.532500000000002	0.19212650366591433	0.1703113885136007	-0.03387710077833144	0.9658851044539428	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_01.png
2	38.971999999999994	48.586670999999996	-31.6642	-0.35442749544596414	0.16201231505044184	0.0624951947908854	0.9188185272921858	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_02.png
3	7.385799999999989	63.93299999999999	-26.899700000000003	0.7738622848954556	-0.11739168171054154	-0.1504236742588148	-0.6039278215509847	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_03.png
4	16.30229999999999	62.1164	-33.3793	0.6761429956465523	-0.24710904887652563	-0.2595469469558598	-0.6437415239660891	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_04.png
5	0.39449999999999363	64.1034	-19.911800000000003	0.7966299761472491	-0.129528795447275	-0.18391679165121605	-0.5610502674107375	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_05.png
6	-6.587700000000012	58.41082	-17.699900000000003	0.8737050259278443	-0.09347945574052285	-0.18571204373769978	-0.4397863886651665	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_06.png
7	-12.373500000000007	56.26116	-10.7995	0.9188185681698171	-0.04000135017958571	-0.09657173258872057	-0.3805871154493456	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_07.png
8	-19.736600000000003	30.147399999999998	-11.1048	0.9902681770680446	-8.298224626662289e-10	-0.13917287713162896	-5.904412386500673e-09	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_08.png
9	-3.6801999999999992	64.3168	-10.6981	0.8667760546627619	-0.042958920909650034	-0.07583317923570265	-0.4910226438256495	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_09.png
10	18.96629999999999	66.0343	-20.1142	-0.689540836679702	1.7601100082777624e-08	3.6230683095491275e-08	0.7242471814042895	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_10.png
11	3.1999999999999886	65.2142	-18.3153	0.817460118721238	-0.010049045080581308	-0.014269017391221925	-0.5757206529212286	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_11.png
12	25.72099999999999	40.759519999999995	-62.229600000000005	-0.2690520922873368	0.5666353593935662	0.20274542791933192	0.7519504402110957	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_12.png
13	31.706999999999994	31.9533	-38.4517	0.02081216996767185	0.5297596122543153	-0.013004875433163133	0.8477925644598874	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_13.png
14	43.843999999999994	34.611399999999996	-27.846700000000002	-0.04799541952986948	0.20766155932892155	0.010201740129188865	0.9769692229704652	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_14.png
15	48.83999999999999	22.710499999999996	-32.0192	0.07195709238855584	0.20734844443595718	-0.015295063296652072	0.9754972514314332	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_15.png
16	35.018	19.960399999999996	-31.9951	0.27903926509440785	0.26376859420499393	-0.08001324146307753	0.9198700663347233	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_16.png
17	37.108999999999995	28.552699999999998	-36.957	0.02241953445151969	0.40661407601630173	-0.009981813019504415	0.9132705447009702	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_17.png
18	43.63199999999999	25.343899999999998	-27.9492	0.07195709238855584	0.20734844443595718	-0.015295063296652072	0.9754972514314332	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_18.png
19	-9.954700000000003	8.249899999999997	-20.651100000000003	0.9069053328369154	0.0730195311293004	-0.17628464368810587	0.37565249669566525	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_19.png
20	-20.51160000000001	29.748899999999995	-22.6808	0.9612616215418839	-1.6434691610381345e-09	-0.2756373525624613	-5.73147444277808e-09	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_20.png
21	-9.347400000000007	60.918499999999995	-5.12219	0.9142097703259497	-3.7185339725741254e-08	-2.418220766136366e-08	-0.4052412432927396	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_21.png
22	-21.368900000000004	29.8648	-1.28612	0.9996989419827378	2.7226757663655007e-09	-3.8853836592149304e-08	0.024541038170171364	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_22.png
23	-14.301600000000008	20.948499999999996	-26.8104	0.917148479049182	0.054966404525877484	-0.37055201864237536	0.13604618363946352	C:\Users\laurel\dev\ff\scripts\data\report\airsim\Building_03_C_airsim\optimized_2D_ComputerVision\pose_23.png
